Parent_Location,Region,Topic,Popularity
worldwide,Antigua & Barbuda,global_warming,0.0
worldwide,Pakistan,global_warming,4.0
worldwide,Slovenia,global_warming,0.0
worldwide,Russia,global_warming,3.0
worldwide,Curaçao,global_warming,0.0
worldwide,Iraq,global_warming,0.0
worldwide,Cambodia,global_warming,0.0
worldwide,St Kitts & Nevis,global_warming,0.0
worldwide,Croatia,global_warming,0.0
worldwide,Kenya,global_warming,0.0
worldwide,Poland,global_warming,3.0
worldwide,US Virgin Islands,global_warming,0.0
worldwide,Ukraine,global_warming,3.0
worldwide,Iran,global_warming,3.0
worldwide,Faroe Islands,global_warming,0.0
worldwide,Singapore,global_warming,0.0
worldwide,Bosnia & Herzegovina,global_warming,0.0
worldwide,Bulgaria,global_warming,0.0
worldwide,Nigeria,global_warming,0.0
worldwide,Greece,global_warming,0.0
worldwide,Finland,global_warming,0.0
worldwide,Åland Islands,global_warming,0.0
worldwide,Bahamas,global_warming,0.0
worldwide,Sri Lanka,global_warming,0.0
worldwide,Barbados,global_warming,0.0
worldwide,New Zealand,global_warming,0.0
worldwide,Serbia,global_warming,0.0
worldwide,United States,global_warming,2.0
worldwide,Cayman Islands,global_warming,0.0
worldwide,Australia,global_warming,2.0
worldwide,Sint Maarten,global_warming,0.0
worldwide,Isle of Man,global_warming,0.0
worldwide,United Kingdom,global_warming,2.0
worldwide,Jersey,global_warming,0.0
worldwide,Malta,global_warming,0.0
worldwide,Guam,global_warming,0.0
worldwide,Ireland,global_warming,0.0
worldwide,Bermuda,global_warming,0.0
worldwide,Guernsey,global_warming,0.0
worldwide,Tokelau,global_warming,0.0
worldwide,Niue,global_warming,0.0
worldwide,Caribbean Netherlands,global_warming,0.0
worldwide,Cook Islands,global_warming,0.0
worldwide,Tuvalu,global_warming,0.0
worldwide,Christmas Island,global_warming,0.0
worldwide,South Georgia & South Sandwich Islands,global_warming,0.0
worldwide,Montserrat,global_warming,0.0
worldwide,British Indian Ocean Territory,global_warming,0.0
worldwide,US Outlying Islands,global_warming,0.0
worldwide,Heard & McDonald Islands,global_warming,0.0
worldwide,Eritrea,global_warming,0.0
worldwide,Norfolk Island,global_warming,0.0
worldwide,Vatican City,global_warming,0.0
worldwide,French Southern Territories,global_warming,0.0
worldwide,Antarctica,global_warming,0.0
worldwide,British Virgin Islands,global_warming,0.0
worldwide,North Korea,global_warming,0.0
worldwide,Falkland Islands (Islas Malvinas),global_warming,0.0
worldwide,Micronesia,global_warming,0.0
worldwide,Wallis & Futuna,global_warming,0.0
worldwide,Anguilla,global_warming,0.0
worldwide,Pitcairn Islands,global_warming,0.0
worldwide,Bouvet Island,global_warming,0.0
worldwide,Nauru,global_warming,0.0
worldwide,Gibraltar,global_warming,0.0
worldwide,Cocos (Keeling) Islands,global_warming,0.0
US,Virginia,global_warming,100.0
US,California,global_warming,45.0
US,Oregon,global_warming,36.0
US,North Carolina,global_warming,31.0
US,Hawaii,global_warming,30.0
US,Georgia,global_warming,28.0
US,Texas,global_warming,27.0
US,Arizona,global_warming,27.0
US,Florida,global_warming,27.0
US,Alaska,global_warming,26.0
US,Washington,global_warming,26.0
US,Vermont,global_warming,26.0
US,Maryland,global_warming,26.0
US,Indiana,global_warming,26.0
US,Delaware,global_warming,25.0
US,New Mexico,global_warming,25.0
US,New York,global_warming,24.0
US,Colorado,global_warming,24.0
US,New Jersey,global_warming,24.0
US,Utah,global_warming,22.0
US,Mississippi,global_warming,22.0
US,Louisiana,global_warming,22.0
US,Rhode Island,global_warming,22.0
US,Oklahoma,global_warming,22.0
US,South Carolina,global_warming,22.0
US,Nevada,global_warming,22.0
US,Iowa,global_warming,22.0
US,Massachusetts,global_warming,22.0
US,Maine,global_warming,21.0
US,Connecticut,global_warming,21.0
US,Arkansas,global_warming,21.0
US,Ohio,global_warming,21.0
US,District of Columbia,global_warming,20.0
US,South Dakota,global_warming,20.0
US,Kansas,global_warming,20.0
US,Nebraska,global_warming,19.0
US,Pennsylvania,global_warming,19.0
US,North Dakota,global_warming,19.0
US,Idaho,global_warming,19.0
US,New Hampshire,global_warming,19.0
US,Michigan,global_warming,19.0
US,Montana,global_warming,18.0
US,Kentucky,global_warming,18.0
US,Wyoming,global_warming,18.0
US,West Virginia,global_warming,18.0
US,Alabama,global_warming,18.0
US,Illinois,global_warming,17.0
US,Wisconsin,global_warming,16.0
US,Minnesota,global_warming,16.0
US,Missouri,global_warming,15.0
US,Tennessee,global_warming,15.0
UK,England,global_warming,100.0
UK,Wales,global_warming,70.0
UK,Northern Ireland,global_warming,40.0
UK,Scotland,global_warming,40.0
